[2025-10-14 15:38:47.353 +04:00 WRN] Microsoft.EntityFrameworkCore.Model.Validation - The 'BidType' property 'BidType' on entity type 'Bid' is configured with a database-generated default, but has no configured sentinel value. The database-generated default will always be used for inserts when the property has the value '0', since this is the CLR default for the 'BidType' type. Consider using a nullable type, using a nullable backing field, or setting the sentinel value for the property to ensure the database default is used when, and only when, appropriate. See https://aka.ms/efcore-docs-default-values for more information. | UserContext:  | TraceId:  | Properties: { EventId: { Id: 20601, Name: "Microsoft.EntityFrameworkCore.Model.Validation.BoolWithDefaultWarning" } } 
[2025-10-14 15:38:48.028 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - 🚀 AuctionSchedulerService STARTED - User: ravanmu-coder - Time: 2025-10-06 15:13:52 | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:48.030 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - ⚙️  Configuration: PollInterval=1s, BatchSize=3, LotTimer=true, CatchUp=true | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:48.212 +04:00 INF] AutoriaFinal.API.Program - 🎯 === AUTORIA AUCTION API STARTED === | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:48.214 +04:00 INF] AutoriaFinal.API.Program - 🌐 Swagger UI: https://localhost:7249 | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:48.215 +04:00 INF] AutoriaFinal.API.Program - 📡 SignalR Hub: https://localhost:7249/auctionHub | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:48.217 +04:00 INF] AutoriaFinal.API.Program - 💚 Health Check: https://localhost:7249/health | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:48.218 +04:00 INF] AutoriaFinal.API.Program - 📊 API Info: https://localhost:7249/api/info | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:48.220 +04:00 INF] AutoriaFinal.API.Program - 🔓 CORS: Enabled for all origins (Development) | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:48.222 +04:00 INF] AutoriaFinal.API.Program - 👨‍💻 Developer: ravanmu-coder | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:49.011 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/swagger - null null | UserContext:  | TraceId: ff2577a2f44d6c597be7a12f0615a5f6 | Properties: { EventId: { Id: 1 }, RequestId: "0HNGB2OUPM4J7:00000001", RequestPath: "/swagger", ConnectionId: "0HNGB2OUPM4J7" } 
[2025-10-14 15:38:49.144 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 GET https://localhost:7249/swagger - 404 0 null 133.9881ms | UserContext:  | TraceId: ff2577a2f44d6c597be7a12f0615a5f6 | Properties: { EventId: { Id: 2 }, RequestId: "0HNGB2OUPM4J7:00000001", RequestPath: "/swagger", ConnectionId: "0HNGB2OUPM4J7" } 
[2025-10-14 15:38:49.161 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request reached the end of the middleware pipeline without being handled by application code. Request path: GET https://localhost:7249/swagger, Response status code: 404 | UserContext:  | TraceId: ff2577a2f44d6c597be7a12f0615a5f6 | Properties: { EventId: { Id: 16 }, RequestId: "0HNGB2OUPM4J7:00000001", RequestPath: "/swagger", ConnectionId: "0HNGB2OUPM4J7" } 
[2025-10-14 15:38:51.036 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - 🔄 Starting catch-up process... - User: ravanmu-coder | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:51.463 +04:00 WRN] LuckyPennySoftware.AutoMapper.License - You do not have a valid license key for the Lucky Penny software AutoMapper. This is allowed for development and testing scenarios. If you are running in production you are required to have a licensed version. Please visit https://luckypennysoftware.com to obtain a valid license. | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:51.501 +04:00 WRN] Microsoft.EntityFrameworkCore.Query - Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'. | UserContext:  | TraceId:  | Properties: { EventId: { Id: 20504, Name: "Microsoft.EntityFrameworkCore.Query.MultipleCollectionIncludeWarning" } } 
[2025-10-14 15:38:51.666 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - ✅ Catch-up completed: Ready=0, Started=0, Ended=0, CarConditions=0 | Duration=621ms - User: ravanmu-coder | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:51.680 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - ✅ Catch-up process completed - User: ravanmu-coder | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:38:51.803 +04:00 WRN] Microsoft.EntityFrameworkCore.Query - Compiling a query which loads related collections for more than one collection navigation, either via 'Include' or through projection, but no 'QuerySplittingBehavior' has been configured. By default, Entity Framework will use 'QuerySplittingBehavior.SingleQuery', which can potentially result in slow query performance. See https://go.microsoft.com/fwlink/?linkid=2134277 for more information. To identify the query that's triggering this warning call 'ConfigureWarnings(w => w.Throw(RelationalEventId.MultipleCollectionIncludeWarning))'. | UserContext:  | TraceId:  | Properties: { EventId: { Id: 20504, Name: "Microsoft.EntityFrameworkCore.Query.MultipleCollectionIncludeWarning" } } 
[2025-10-14 15:39:21.577 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - ⚡ Cycle #30: Ready=0, Start=0, End=0, Cars=0, Conditions=0 | Duration=10ms - User: ravanmu-coder | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:39:51.970 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - ⚡ Cycle #60: Ready=0, Start=0, End=0, Cars=0, Conditions=0 | Duration=7ms - User: ravanmu-coder | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:40:23.222 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - ⚡ Cycle #90: Ready=0, Start=0, End=0, Cars=0, Conditions=0 | Duration=8ms - User: ravanmu-coder | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:40:53.623 +04:00 INF] AutoriaFinal.Infrastructure.Services.AuctionSchedulerService - ⚡ Cycle #120: Ready=0, Start=0, End=0, Cars=0, Conditions=0 | Duration=8ms - User: ravanmu-coder | UserContext:  | TraceId:  | Properties: {  } 
[2025-10-14 15:41:07.465 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 OPTIONS https://localhost:7249/api/Car - null null | UserContext:  | TraceId: a726a3103928d2f2f1295aa08a36c050 | Properties: { EventId: { Id: 1 }, RequestId: "0HNGB2OUPM4J8:00000003", RequestPath: "/api/Car", ConnectionId: "0HNGB2OUPM4J8" } 
[2025-10-14 15:41:07.465 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 OPTIONS https://localhost:7249/api/Auction/live - null null | UserContext:  | TraceId: ac855b6472e4eb53ddd25a313b97677f | Properties: { EventId: { Id: 1 }, RequestId: "0HNGB2OUPM4J8:00000001", RequestPath: "/api/Auction/live", ConnectionId: "0HNGB2OUPM4J8" } 
[2025-10-14 15:41:07.465 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 OPTIONS https://localhost:7249/api/Bid/my-bids - null null | UserContext:  | TraceId: 3ee3b8637b73620b273794c5755158d1 | Properties: { EventId: { Id: 1 }, RequestId: "0HNGB2OUPM4J8:00000005", RequestPath: "/api/Bid/my-bids", ConnectionId: "0HNGB2OUPM4J8" } 
[2025-10-14 15:41:07.482 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 OPTIONS https://localhost:7249/api/Car - 204 null null 16.9996ms | UserContext:  | TraceId: a726a3103928d2f2f1295aa08a36c050 | Properties: { EventId: { Id: 2 }, RequestId: "0HNGB2OUPM4J8:00000003", RequestPath: "/api/Car", ConnectionId: "0HNGB2OUPM4J8" } 
[2025-10-14 15:41:07.486 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 OPTIONS https://localhost:7249/api/Auction/live - 204 null null 20.9325ms | UserContext:  | TraceId: ac855b6472e4eb53ddd25a313b97677f | Properties: { EventId: { Id: 2 }, RequestId: "0HNGB2OUPM4J8:00000001", RequestPath: "/api/Auction/live", ConnectionId: "0HNGB2OUPM4J8" } 
[2025-10-14 15:41:07.491 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished HTTP/2 OPTIONS https://localhost:7249/api/Bid/my-bids - 204 null null 25.7101ms | UserContext:  | TraceId: 3ee3b8637b73620b273794c5755158d1 | Properties: { EventId: { Id: 2 }, RequestId: "0HNGB2OUPM4J8:00000005", RequestPath: "/api/Bid/my-bids", ConnectionId: "0HNGB2OUPM4J8" } 
[2025-10-14 15:41:07.499 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Car - application/json null | UserContext:  | TraceId: 16da19e193dc4483790905953543ee3e | Properties: { EventId: { Id: 1 }, RequestId: "0HNGB2OUPM4J9:00000001", RequestPath: "/api/Car", ConnectionId: "0HNGB2OUPM4J9" } 
[2025-10-14 15:41:07.499 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Auction/live - application/json null | UserContext:  | TraceId: 1aed376db7c37b5bf62fb2cb7ab25a9b | Properties: { EventId: { Id: 1 }, RequestId: "0HNGB2OUPM4J9:00000003", RequestPath: "/api/Auction/live", ConnectionId: "0HNGB2OUPM4J9" } 
[2025-10-14 15:41:07.500 +04:00 INF] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/2 GET https://localhost:7249/api/Bid/my-bids - application/json null | UserContext:  | TraceId: 7d137558df7793573b578b3d5c1d03d5 | Properties: { EventId: { Id: 1 }, RequestId: "0HNGB2OUPM4J9:00000005", RequestPath: "/api/Bid/my-bids", ConnectionId: "0HNGB2OUPM4J9" } 
